[AXUM] 2023-04-25 18:44:03 |200|   61ms |       127.0.0.1 | GET   /assets/video-4f1fd7ce.js
[AXUM] 2023-04-25 18:44:03 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 18:44:04 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 18:44:04 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 18:44:04 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 18:44:04 |200|    0ms |       127.0.0.1 | GET   /favicon.ico
[AXUM] 2023-04-25 18:44:06 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 18:44:07 |200|    0ms |       127.0.0.1 | GET   /
[AXUM] 2023-04-25 18:44:07 |200|    0ms |       127.0.0.1 | GET   /assets/index-245bfb5e.js
[AXUM] 2023-04-25 18:44:07 |200|    0ms |       127.0.0.1 | GET   /assets/index-e0b96a67.css
[AXUM] 2023-04-25 18:44:07 |200|    0ms |       127.0.0.1 | GET   /assets/video-4f1fd7ce.js
[AXUM] 2023-04-25 18:44:07 |200|    0ms |       127.0.0.1 | GET   /assets/video-a15dbd40.js
[AXUM] 2023-04-25 18:44:07 |200|    0ms |       127.0.0.1 | GET   /assets/video-d6b99e6c.css
[AXUM] 2023-04-25 18:44:07 |200|    0ms |       127.0.0.1 | GET   /favicon.ico
[AXUM] 2023-04-25 18:44:07 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 18:44:07 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 18:44:07 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 18:44:07 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 18:44:09 |200|    0ms |       127.0.0.1 | GET   /favicon.ico
[AXUM] 2023-04-25 18:44:10 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-1 浏览器背后的故事.mp4
[AXUM] 2023-04-25 18:44:11 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-1 浏览器背后的故事.mp4
[AXUM] 2023-04-25 18:44:12 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-1 浏览器背后的故事.mp4
[AXUM] 2023-04-25 18:44:12 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-1 浏览器背后的故事.mp4
[AXUM] 2023-04-25 18:44:14 |200|    0ms |       127.0.0.1 | GET   /
[AXUM] 2023-04-25 18:44:15 |200|    0ms |       127.0.0.1 | GET   /assets/index-245bfb5e.js
[AXUM] 2023-04-25 18:44:15 |200|    0ms |       127.0.0.1 | GET   /assets/index-e0b96a67.css
[AXUM] 2023-04-25 18:44:15 |200|    0ms |       127.0.0.1 | GET   /assets/video-4f1fd7ce.js
[AXUM] 2023-04-25 18:44:15 |200|    0ms |       127.0.0.1 | GET   /assets/video-a15dbd40.js
[AXUM] 2023-04-25 18:44:15 |200|    0ms |       127.0.0.1 | GET   /assets/video-d6b99e6c.css
[AXUM] 2023-04-25 18:44:15 |200|    0ms |       127.0.0.1 | GET   /favicon.ico
[AXUM] 2023-04-25 18:44:15 |200|    2ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 18:44:15 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-1 浏览器背后的故事.mp4
[AXUM] 2023-04-25 18:44:15 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-1 浏览器背后的故事.mp4
[AXUM] 2023-04-25 18:44:17 |200|    0ms |       127.0.0.1 | GET   /favicon.ico
[AXUM] 2023-04-25 18:44:19 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-2 HTTP协议的前世今生.mp4
[AXUM] 2023-04-25 18:44:19 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-2 HTTP协议的前世今生.mp4
[AXUM] 2023-04-25 18:44:21 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-2 HTTP协议的前世今生.mp4
[AXUM] 2023-04-25 18:44:26 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-2 HTTP协议的前世今生.mp4
[AXUM] 2023-04-25 18:44:27 |200|    0ms |       127.0.0.1 | GET   /
[AXUM] 2023-04-25 18:44:27 |200|    0ms |       127.0.0.1 | GET   /assets/index-245bfb5e.js
[AXUM] 2023-04-25 18:44:27 |200|    0ms |       127.0.0.1 | GET   /assets/index-e0b96a67.css
[AXUM] 2023-04-25 18:44:28 |200|    0ms |       127.0.0.1 | GET   /assets/video-4f1fd7ce.js
