[AXUM] 2023-04-25 19:26:00 |206|    0ms |       127.0.0.1 | GET   /
[AXUM] 2023-04-25 19:26:00 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:26:00 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:26:13 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:26:14 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:26:14 |206|    0ms |       127.0.0.1 | GET   /
[AXUM] 2023-04-25 19:26:14 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:26:14 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:26:19 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:26:26 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:26:26 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:26:26 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:26:37 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:26:37 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:26:37 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:26:38 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:26:38 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:26:39 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:26:39 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:26:40 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:26:40 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:26:41 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:26:41 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:26:43 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:26:43 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:27:08 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:27:08 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:27:09 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:27:09 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:27:16 |200|    2ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:27:16 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:27:17 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:27:17 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:27:18 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:27:18 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:27:25 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:27:25 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:27:26 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:27:26 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:27:28 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:27:28 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:27:29 |200|    2ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:27:29 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:27:31 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:27:31 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:27:33 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:27:33 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:27:36 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:27:36 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:27:37 |200|    2ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:27:37 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:27:38 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:27:38 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:27:39 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:27:39 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:27:41 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:27:41 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:27:42 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:27:42 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:27:43 |200|    2ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:27:43 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:27:44 |200|    2ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:27:44 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:27:45 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:27:45 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:27:46 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:27:46 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:27:46 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:27:46 |200|    1ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:27:46 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:27:48 |200|    2ms |       127.0.0.1 | POST  /items
[AXUM] 2023-04-25 19:27:48 |206|    0ms |       127.0.0.1 | GET   /
[AXUM] 2023-04-25 19:27:49 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第1章 课程介绍【整体介绍http的恋爱路线】/1-1 课程整体介绍.mp4
[AXUM] 2023-04-25 19:27:50 |206|   57ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-2 HTTP协议的前世今生.mp4
[AXUM] 2023-04-25 19:27:50 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-2 HTTP协议的前世今生.mp4
[AXUM] 2023-04-25 19:27:50 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-2 HTTP协议的前世今生.mp4
[AXUM] 2023-04-25 19:27:50 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-2 HTTP协议的前世今生.mp4
[AXUM] 2023-04-25 19:27:52 |206|    6ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-3 透过TCPIP看HTTP.mp4
[AXUM] 2023-04-25 19:27:52 |206|    0ms |       127.0.0.1 | GET   /video/大话HTTP协议/第2章 HTTP初相识--了解HTTP协议/2-3 透过TCPIP看HTTP.mp4
